yr	percentil	América Latina	Mundo	Argentina	Australia	Austria	Bélgica	Bolivia	Brasil	Canadá	Chequia	Costa Rica	Colombia	Chile	Dinamarca	Ecuador	R. Dominicana	El Salvador	Estonia	Finlandia	Francia	Alemania	Grecia	Guatemala	Honduras	Hungría	Islandia	Irlanda	Israel	Italia	Japón	Corea del Sur	Letonia	Lituania	Luxemburgo	México	Países Bajos	Nueva Zelanda	Nicaragua	Noruega	Panamá	Paraguay	Perú	Polonia	Portugal	Eslovenia	Eslovaquia	España	Suecia	Suiza	Turquía	Reino Unido	Uruguay	Estados Unidos	Venezuela
1990	p99p100	0.2121	0.1832	0.1295	0.075	0.1114	0.0824	0.1938	0.2449	0.0981	0.0471	0.1903	0.1942	0.2509	0.0821	0.1971	0.1938	0.1715	0.0892	0.045	0.0996	0.1145	0.0914	0.1938	0.1938	0.0539	0.075	0.0904	0.1797	0.0624	0.1482	0.0944	0.0421	0.0616	0.1399	0.1829	0.0577	0.0999	0.1938	0.0584	0.1938	0.1938	0.1991	0.0551	0.0894	0.0428	0.0394	0.117	0.08	0.1091	0.2532	0.0816	0.1752	0.147	0.1938
1991	p99p100	0.2123	0.1808	0.1295	0.0734	0.1113	0.078	0.1938	0.2449	0.0948	0.0673	0.1903	0.1942	0.2509	0.0818	0.1971	0.1938	0.1715	0.1117	0.0389	0.0952	0.1032	0.0932	0.1938	0.1938	0.0596	0.0742	0.0944	0.1817	0.0629	0.1386	0.0926	0.0497	0.0704	0.1404	0.1829	0.0574	0.0868	0.1938	0.0597	0.1938	0.1938	0.1991	0.0663	0.091	0.0431	0.0505	0.1145	0.0797	0.103	0.2439	0.0817	0.1752	0.1365	0.1938
1992	p99p100	0.2121	0.1829	0.1295	0.0766	0.1108	0.0757	0.1938	0.2449	0.0965	0.0879	0.1903	0.1942	0.2509	0.0826	0.1973	0.1938	0.1715	0.1161	0.0373	0.0906	0.0963	0.0916	0.1938	0.1938	0.0677	0.0763	0.0968	0.1836	0.0633	0.1014	0.0906	0.0604	0.0802	0.1411	0.1829	0.0564	0.0933	0.1938	0.0687	0.1938	0.1938	0.1991	0.0761	0.092	0.0488	0.0519	0.1124	0.0775	0.0958	0.2347	0.0769	0.1752	0.1468	0.1938
1993	p99p100	0.2193	0.1852	0.1295	0.0816	0.1112	0.0756	0.1938	0.2449	0.1061	0.1036	0.1903	0.2296	0.2509	0.0828	0.1973	0.1938	0.1715	0.1494	0.0482	0.0919	0.0922	0.0938	0.1938	0.1938	0.0711	0.0753	0.0951	0.1839	0.0658	0.1033	0.0916	0.0694	0.0902	0.1401	0.1829	0.055	0.0986	0.1938	0.0802	0.1938	0.1938	0.1991	0.0818	0.096	0.0568	0.0526	0.1099	0.0847	0.0967	0.2255	0.0868	0.1752	0.1414	0.1938
1994	p99p100	0.2193	0.1867	0.1295	0.0857	0.1117	0.0823	0.1938	0.2449	0.11	0.1127	0.1903	0.2303	0.2509	0.092	0.1973	0.1938	0.1715	0.1458	0.0713	0.093	0.0893	0.0963	0.1938	0.1938	0.0703	0.0753	0.0974	0.1842	0.0677	0.1016	0.0931	0.0824	0.0943	0.1414	0.1829	0.0565	0.1022	0.1938	0.0848	0.1938	0.1938	0.1991	0.0971	0.0968	0.0599	0.0605	0.1143	0.1075	0.0985	0.2164	0.099	0.1752	0.1404	0.1938
1995	p99p100	0.217	0.1898	0.1295	0.084	0.1101	0.0808	0.1938	0.2449	0.1052	0.1079	0.1903	0.2328	0.2509	0.0936	0.1973	0.1938	0.1715	0.1603	0.0894	0.0925	0.0877	0.0969	0.1938	0.1938	0.0729	0.0753	0.1007	0.1844	0.0729	0.1057	0.0936	0.0999	0.0886	0.1434	0.1829	0.059	0.1032	0.1938	0.0848	0.1938	0.1938	0.1991	0.1106	0.0986	0.0646	0.0574	0.1166	0.1154	0.0982	0.2173	0.1003	0.1752	0.1452	0.1938
1996	p99p100	0.219	0.1946	0.1295	0.0827	0.1109	0.0837	0.1938	0.2449	0.1117	0.1095	0.1903	0.2388	0.2509	0.0962	0.1973	0.1938	0.1715	0.1742	0.0909	0.0978	0.0954	0.1	0.1938	0.1938	0.0801	0.0755	0.097	0.1847	0.0747	0.1127	0.0926	0.1002	0.0856	0.1489	0.1829	0.0593	0.098	0.1938	0.0974	0.1938	0.1938	0.1991	0.09	0.0968	0.0662	0.0613	0.1153	0.105	0.1089	0.2182	0.1147	0.1752	0.1524	0.1938
1997	p99p100	0.221	0.196	0.1119	0.0869	0.1141	0.0826	0.1938	0.2449	0.1219	0.1007	0.1903	0.2338	0.2509	0.1054	0.1973	0.1938	0.1715	0.1657	0.106	0.1032	0.1022	0.1152	0.1938	0.1938	0.0829	0.0767	0.1072	0.1849	0.0759	0.1067	0.0968	0.0999	0.0837	0.1525	0.1829	0.0607	0.1052	0.1938	0.1056	0.1938	0.1938	0.1991	0.0977	0.1014	0.0697	0.0649	0.1102	0.1137	0.1136	0.2192	0.1192	0.1752	0.1598	0.1938
1998	p99p100	0.2202	0.1997	0.1135	0.0901	0.1188	0.0814	0.1938	0.2449	0.1252	0.1151	0.1903	0.2217	0.2509	0.1031	0.1971	0.1938	0.1715	0.1615	0.1157	0.1055	0.1098	0.1216	0.1938	0.1938	0.087	0.0775	0.1207	0.1861	0.0791	0.1055	0.0777	0.1071	0.0769	0.1589	0.1829	0.0594	0.1168	0.1938	0.0888	0.1938	0.1938	0.1991	0.1092	0.1027	0.0722	0.0579	0.1092	0.1151	0.1154	0.2201	0.1281	0.1752	0.1632	0.1938
1999	p99p100	0.2156	0.2014	0.1222	0.1002	0.1073	0.0821	0.1938	0.2449	0.1306	0.1125	0.1903	0.203	0.2509	0.1146	0.1973	0.1938	0.1715	0.1589	0.1254	0.1076	0.1064	0.1287	0.1938	0.1938	0.0889	0.0801	0.1173	0.1873	0.0774	0.1081	0.0926	0.0981	0.072	0.1529	0.1829	0.0603	0.1316	0.1938	0.0983	0.1938	0.1938	0.1991	0.1071	0.1078	0.0775	0.0754	0.1118	0.1167	0.1096	0.2209	0.1204	0.1752	0.1676	0.1938
2000	p99p100	0.2148	0.2043	0.1295	0.1059	0.1184	0.0821	0.1938	0.2449	0.1473	0.1107	0.1897	0.1942	0.2508	0.1171	0.197	0.1938	0.1713	0.1558	0.1347	0.1096	0.1047	0.1255	0.1938	0.1938	0.0924	0.0828	0.1255	0.1885	0.082	0.1152	0.1013	0.106	0.0808	0.1453	0.1829	0.0622	0.0969	0.1938	0.1258	0.1938	0.1938	0.1985	0.1042	0.1047	0.0726	0.0739	0.11	0.1009	0.1132	0.2218	0.1159	0.1752	0.1735	0.1938
2001	p99p100	0.2185	0.2026	0.1293	0.0965	0.1125	0.0797	0.2045	0.2449	0.1387	0.1115	0.1897	0.1942	0.2502	0.1017	0.197	0.2045	0.1713	0.1502	0.1288	0.1091	0.1029	0.1233	0.2045	0.2045	0.1014	0.1013	0.1187	0.1896	0.0869	0.1176	0.1056	0.0941	0.0821	0.1471	0.1829	0.0695	0.1042	0.2045	0.1062	0.2045	0.2045	0.2878	0.0996	0.1117	0.0689	0.087	0.1058	0.0877	0.1054	0.2227	0.1154	0.1832	0.166	0.2045
2002	p99p100	0.224	0.2008	0.1337	0.1017	0.1156	0.0763	0.201	0.2581	0.1348	0.106	0.1897	0.1942	0.2495	0.1006	0.1925	0.201	0.1771	0.163	0.1254	0.1057	0.1008	0.1097	0.201	0.201	0.1094	0.1089	0.1206	0.1903	0.0833	0.1207	0.1152	0.1058	0.077	0.1325	0.1829	0.0682	0.1048	0.201	0.114	0.201	0.201	0.245	0.104	0.1032	0.07	0.1006	0.1088	0.0914	0.095	0.2235	0.119	0.1758	0.161	0.201
2003	p99p100	0.2275	0.2011	0.1314	0.1069	0.1221	0.0767	0.2098	0.2433	0.135	0.1069	0.1897	0.2045	0.2488	0.0923	0.188	0.2098	0.1648	0.1613	0.118	0.1121	0.0946	0.1076	0.2098	0.2098	0.107	0.1085	0.124	0.191	0.0832	0.1256	0.1164	0.1111	0.0865	0.126	0.2022	0.0677	0.1122	0.2098	0.1183	0.2098	0.2098	0.3072	0.1021	0.1026	0.075	0.0805	0.1112	0.1047	0.1133	0.2179	0.1297	0.1977	0.1633	0.2098
2004	p99p100	0.233	0.2042	0.1291	0.1117	0.1148	0.0852	0.2085	0.2543	0.1443	0.1082	0.1897	0.2018	0.2624	0.0977	0.1835	0.2085	0.17	0.1541	0.1295	0.1151	0.1059	0.1144	0.2085	0.2085	0.1054	0.0916	0.1232	0.1917	0.0819	0.1339	0.1229	0.1102	0.0865	0.1575	0.2215	0.0701	0.1172	0.2085	0.1226	0.2085	0.2085	0.2591	0.1292	0.1088	0.0761	0.0981	0.1098	0.111	0.1181	0.2118	0.1284	0.1945	0.1706	0.2085
2005	p99p100	0.2273	0.2075	0.1069	0.1124	0.1127	0.0844	0.2072	0.2528	0.1539	0.1155	0.1897	0.1922	0.276	0.11	0.1789	0.2072	0.2006	0.1924	0.1101	0.1128	0.1206	0.1144	0.2072	0.2072	0.1184	0.1018	0.1325	0.1924	0.0815	0.1383	0.1219	0.1161	0.096	0.1692	0.2106	0.0718	0.1027	0.2072	0.1269	0.2072	0.2072	0.2795	0.1352	0.1041	0.0746	0.0942	0.1085	0.1162	0.1276	0.1838	0.141	0.1675	0.1806	0.2072
2006	p99p100	0.2316	0.2105	0.1233	0.124	0.1331	0.0872	0.2115	0.2611	0.1608	0.1055	0.1897	0.195	0.2896	0.1148	0.1997	0.2115	0.1662	0.1552	0.1181	0.1131	0.1273	0.1137	0.2115	0.2115	0.1257	0.1061	0.135	0.1927	0.0827	0.1397	0.1302	0.0969	0.0861	0.1209	0.1997	0.0709	0.0912	0.2115	0.1312	0.2115	0.2115	0.2551	0.1424	0.1052	0.0779	0.0961	0.1132	0.1274	0.1325	0.174	0.145	0.214	0.1852	0.2115
2007	p99p100	0.2484	0.2107	0.1757	0.1192	0.1149	0.0951	0.2366	0.254	0.1633	0.1129	0.1897	0.1978	0.2794	0.1094	0.2204	0.2366	0.2129	0.1556	0.1155	0.1172	0.1361	0.1067	0.2366	0.2366	0.1132	0.1458	0.1202	0.1931	0.0823	0.14	0.139	0.1072	0.1151	0.163	0.2396	0.0787	0.0913	0.2366	0.1308	0.2366	0.2366	0.2892	0.1576	0.111	0.0816	0.093	0.1134	0.1224	0.1178	0.168	0.1455	0.2605	0.1837	0.2366
2008	p99p100	0.2495	0.2056	0.1391	0.1062	0.1231	0.085	0.226	0.2575	0.1508	0.1356	0.1897	0.2007	0.2693	0.1037	0.1919	0.226	0.1986	0.1308	0.1126	0.1131	0.1345	0.0891	0.226	0.226	0.1127	0.0787	0.1026	0.1957	0.0788	0.1322	0.1415	0.1067	0.1187	0.1529	0.2796	0.0676	0.0906	0.226	0.1379	0.226	0.226	0.2387	0.1493	0.0973	0.0808	0.0867	0.1161	0.1121	0.1007	0.1795	0.1395	0.2585	0.1794	0.226
2009	p99p100	0.2522	0.199	0.1184	0.1127	0.1082	0.0749	0.2042	0.2833	0.1323	0.1139	0.1897	0.191	0.2592	0.095	0.1506	0.2042	0.1844	0.095	0.0901	0.0988	0.1297	0.0846	0.2042	0.2042	0.1105	0.0663	0.1001	0.1983	0.076	0.1246	0.1399	0.1148	0.11	0.103	0.2679	0.0656	0.0994	0.2042	0.1095	0.2042	0.2042	0.2097	0.1363	0.0967	0.0713	0.0924	0.1263	0.0968	0.1054	0.1928	0.1417	0.1733	0.1671	0.2042
2010	p99p100	0.2449	0.2003	0.1169	0.1149	0.1137	0.0763	0.2069	0.2797	0.1398	0.1073	0.1897	0.19	0.2597	0.1142	0.2149	0.2069	0.1385	0.1096	0.0962	0.1056	0.1286	0.0881	0.2069	0.2069	0.1143	0.0555	0.0992	0.2008	0.0803	0.1308	0.148	0.097	0.0924	0.1391	0.2561	0.0673	0.0951	0.2069	0.1223	0.2069	0.2069	0.2442	0.1342	0.1004	0.0718	0.1099	0.1154	0.1094	0.1213	0.1951	0.1215	0.1625	0.179	0.2069
2011	p99p100	0.2473	0.2023	0.1173	0.1094	0.1111	0.0794	0.2047	0.276	0.1407	0.1031	0.1909	0.2083	0.2602	0.1146	0.14	0.2047	0.1638	0.1261	0.0924	0.1115	0.1279	0.0728	0.2047	0.2047	0.1094	0.0583	0.0987	0.1961	0.0821	0.1287	0.1498	0.1207	0.0965	0.1273	0.276	0.0659	0.1026	0.2047	0.1224	0.2047	0.2047	0.2399	0.1394	0.1116	0.0702	0.0957	0.1135	0.1038	0.1235	0.1881	0.1302	0.161	0.1808	0.2047
2012	p99p100	0.2525	0.2003	0.0832	0.1165	0.0827	0.0817	0.2028	0.2964	0.1342	0.1114	0.1717	0.1838	0.2585	0.1176	0.1728	0.2028	0.1891	0.1409	0.0876	0.1028	0.1258	0.0785	0.2028	0.2028	0.1025	0.063	0.0928	0.1915	0.0809	0.1296	0.1467	0.1204	0.1139	0.114	0.2958	0.0657	0.1137	0.2028	0.1241	0.2028	0.2028	0.22	0.1386	0.1014	0.0693	0.0941	0.1214	0.0976	0.1133	0.1942	0.1263	0.126	0.1948	0.2028
2013	p99p100	0.2462	0.1989	0.0994	0.1248	0.0896	0.082	0.2131	0.2611	0.1457	0.1041	0.1734	0.1916	0.2569	0.1221	0.1695	0.2131	0.2512	0.1282	0.086	0.1012	0.131	0.0994	0.2131	0.2131	0.1157	0.0825	0.1	0.1823	0.0791	0.1315	0.145	0.1211	0.1187	0.1063	0.3056	0.0636	0.1019	0.2131	0.1186	0.2131	0.2131	0.2344	0.1362	0.1054	0.0706	0.1159	0.1204	0.0977	0.1123	0.1847	0.1369	0.1483	0.1847	0.2131
2014	p99p100	0.2494	0.1988	0.1038	0.1191	0.111	0.0835	0.2189	0.2633	0.1506	0.1061	0.1464	0.1946	0.264	0.1291	0.1853	0.2189	0.2403	0.13	0.0901	0.1022	0.1325	0.125	0.2189	0.2189	0.1159	0.084	0.1022	0.1738	0.0799	0.1311	0.1454	0.1046	0.1452	0.1001	0.3153	0.0687	0.1039	0.2189	0.1151	0.2189	0.2189	0.243	0.1426	0.1072	0.0781	0.1019	0.1215	0.0989	0.1126	0.2041	0.1323	0.1608	0.1897	0.2189
2015	p99p100	0.2528	0.1985	0.1346	0.1182	0.1016	0.0848	0.2176	0.2522	0.157	0.1122	0.173	0.1862	0.271	0.1273	0.1726	0.2176	0.1854	0.1114	0.0956	0.1005	0.1326	0.1222	0.2176	0.2176	0.1171	0.0829	0.1164	0.1696	0.078	0.1322	0.1476	0.0989	0.1087	0.0974	0.3147	0.0688	0.1096	0.2176	0.0981	0.2176	0.2176	0.2483	0.1491	0.1086	0.0711	0.1112	0.1242	0.1039	0.1171	0.2104	0.1225	0.1936	0.1889	0.2176
2016	p99p100	0.2598	0.1968	0.1654	0.1143	0.1108	0.0863	0.2202	0.2744	0.1328	0.1077	0.2094	0.1889	0.2709	0.1277	0.147	0.2202	0.221	0.123	0.0968	0.099	0.1325	0.1162	0.2202	0.2202	0.1203	0.0837	0.1204	0.1655	0.0888	0.1315	0.1491	0.0838	0.1082	0.1009	0.3141	0.069	0.1117	0.2202	0.0961	0.2202	0.2202	0.2439	0.1472	0.1093	0.0738	0.0909	0.125	0.0908	0.1155	0.2319	0.1241	0.1562	0.1867	0.2202
2017	p99p100	0.2524	0.1957	0.1515	0.128	0.0988	0.085	0.2144	0.2664	0.149	0.1073	0.1682	0.1789	0.2707	0.1251	0.1507	0.2144	0.1884	0.1274	0.1061	0.0977	0.1317	0.1093	0.2144	0.2144	0.1191	0.0879	0.1164	0.1655	0.0921	0.1311	0.1498	0.0976	0.1202	0.1068	0.2991	0.0706	0.1177	0.2144	0.1	0.2144	0.2144	0.2365	0.1452	0.1165	0.0795	0.0838	0.1261	0.0984	0.1076	0.198	0.133	0.1872	0.1905	0.2144
2018	p99p100	0.2421	0.1943	0.1843	0.1123	0.0992	0.086	0.2073	0.2341	0.1395	0.102	0.2089	0.1989	0.2707	0.1237	0.1297	0.2073	0.1448	0.1302	0.1049	0.0966	0.1294	0.1092	0.2073	0.2073	0.1199	0.0878	0.1197	0.1655	0.0913	0.1311	0.1493	0.0969	0.1133	0.1009	0.2842	0.0699	0.1194	0.2073	0.1087	0.2073	0.2073	0.2504	0.1465	0.1114	0.0803	0.0785	0.125	0.094	0.1102	0.2007	0.1296	0.1685	0.1925	0.2073
2019	p99p100	0.2516	0.1934	0.217	0.1128	0.1012	0.0863	0.2075	0.2569	0.1391	0.1002	0.1913	0.1989	0.2707	0.1272	0.1367	0.2075	0.1446	0.1165	0.1028	0.0986	0.1287	0.1074	0.2075	0.2075	0.1239	0.0878	0.1179	0.1655	0.0891	0.1311	0.1471	0.0907	0.109	0.1037	0.2842	0.0691	0.1187	0.2075	0.0933	0.2075	0.2075	0.2121	0.1479	0.1089	0.0796	0.074	0.1266	0.0954	0.1152	0.1884	0.126	0.1466	0.1906	0.2075
2020	p99p100	0.251	0.1929	0.217	0.1128	0.1009	0.0863	0.2075	0.2569	0.1391	0.1004	0.1913	0.1989	0.2707	0.1291	0.1367	0.2075	0.1446	0.1176	0.1088	0.0984	0.1277	0.108	0.2075	0.2075	0.1227	0.0878	0.118	0.1655	0.0871	0.1311	0.1471	0.0913	0.1095	0.1037	0.2842	0.0692	0.1187	0.2075	0.0888	0.2075	0.2075	0.2121	0.1487	0.0959	0.0802	0.0704	0.1238	0.1054	0.1146	0.1884	0.1265	0.1466	0.1906	0.2075
2021	p99p100	0.2517	0.193	0.217	0.1128	0.1009	0.0863	0.2075	0.2569	0.1391	0.1004	0.1913	0.1989	0.2707	0.1291	0.1367	0.2075	0.1446	0.1176	0.1088	0.0984	0.1277	0.108	0.2075	0.2075	0.1227	0.0878	0.118	0.1655	0.0871	0.1311	0.1471	0.0913	0.1095	0.1037	0.2842	0.0692	0.1187	0.2075	0.0888	0.2075	0.2075	0.2121	0.1487	0.0959	0.0802	0.0704	0.1238	0.1054	0.1146	0.1884	0.1265	0.1466	0.1906	0.2075
